a little	//
popular	/´pɔpjulə/
population	/,pɔpju'leiʃn/
port	/pɔ:t/
pose	/pouz/
position	/pəˈzɪʃən/
positive	/'pɔzətiv/
possess	/pә'zes/
possession	/pə'zeʃn/
possibility	/¸pɔsi´biliti/
possible	/'pɔsibəl/
possibly	/´pɔsibli/
post	/poʊst/
post office	/'ɔfis/
pot	/pɒt/
potato	/pə'teitou/
potential	/pəˈtɛnʃəl/
potentially	/pəˈtɛnʃəlli/
pound	/paund/
pour	/pɔ:/
powder	/'paudə/
power	/ˈpauə(r)/
powerful	/´pauəful/
practical	/ˈpræktɪkəl/
practically	/´præktikəli/
practice	/´præktis/
practise	/´præktis/
praise	/preiz/
prayer	/prɛər/
precise	/pri´sais/
precisely	/pri´saisli/
predict	/pri'dikt/
prefer	/pri'fə:/
preference	/'prefərəns/
pregnant	/'pregnənt/
premises	/'premis/
preparation	/¸prepə´reiʃən/
prepare	/pri´peə/
prepared	/pri'peəd/
presence	/'prezns/
present	/(v)pri'zent/
presentation	/,prezen'teiʃn/
preserve	/pri'zə:v/
president	/´prezidənt/
press	/pres/
pressure	/'preʃə/
presumably	/pri'zju:məbli/
pretend	/pri'tend/
pretty	/'priti/
prevent	/pri'vent/
previous	/ˈpriviəs/
previously	/´pri:viəsli/
price	/prais/
pride	/praid/
priest	/pri:st/
primarily	/´praimərili/
primary	/'praiməri/
prime minister	/´ministə/
prince	/prins/
princess	/prin'ses/
principle	/ˈprɪnsəpəl/
print	/print/
printer	/´printə/
printing	/´printiη/
prior	/'praɪə(r)/
priority	/prai´ɔriti/
prison	/ˈprɪzən/
prisoner	/ˈprɪzənə(r)/
private	/ˈpraɪvɪt/
privately	/ˈpraɪvɪtli/
prize	/praiz/
probable	/´prɔbəbl/
probably	/´prɔbəbli/
problem	/'prɔbləm/
procedure	/prə´si:dʒə/
proceed	/proceed/
process	/'prouses/
produce	/'prɔdju:s/
producer	/prə´dju:sə/
product	/´prɔdʌkt/
production	/prə´dʌkʃən/
profession	/prə´feʃ(ə)n/
professional	/prə'feʃənl/
professor	/prəˈfɛsər/
profit	/ˈprɒfɪt/
program	/´prougræm/
programme	/´prougræm/
progress	/'prougres/
project	/(n) ˈprɒdʒɛkt/
promise	//
promote	/prəˈmoʊt/
promotion	/prə'mou∫n/
prompt	/prɒmpt/
promptly	/´prɔmptli/
pronounce	/prəˈnaʊns/
pronunciation	/prə¸nʌnsi´eiʃən/
proof	/pru:f/
proper	/'prɔpə/
properly	/´prɔpəli/
property	/'prɔpəti/
proportion	/prə'pɔ:ʃn/
proposal	/prə'pouzl/
propose	/prǝ'prouz/
prospect	/´prɔspekt/
protect	/prə'tekt/
protection	/prə'tek∫n/
protest	/ˈprəʊ.test/
proud	/praud/
proudly	/proudly/
prove	/pru:v/
provide	/prə'vaid/
provided, providing	/prə´vaidid/
pub, publicyhouse	//
public	/'pʌblik/
publication	/ˌpʌblɪˈkeɪʃən/
publicity	/pʌb'lɪsətɪ/
publicly	/'pΔblikli/
publish	/'pʌbli∫/
publishing	/´pʌbliʃiη/
pull	/pul/
punch	/pʌntʃ/
punish	/'pʌniʃ/
punishment	/'pʌniʃmənt/
pupil	/ˈpju:pl/
purchase	/'pə:t∫əs/
pure	/pjuə(r)/
purely	/´pjuəli/
purple	/ˈpɜrpəl/
purpose	/'pə:pəs/
pursue	/pә'sju:/
push	/puʃ/
put	/put/
put sth on	//
qualification	/,kwalifi'keiSn/
qualified	/ˈkwɒləˌfaɪd/
qualify	/´kwɔli¸fai/
quality	/'kwɔliti/
quantity	/ˈkwɒntɪti/
quarter	/'kwɔ:tə/
queen	/kwi:n/
question	/ˈkwɛstʃən/
quick	/kwik/
quickly	/´kwikli/
quiet	/'kwaiət/
quietly	/'kwiətli/
quit	/kwit/
quite	/kwait/
quote	/kwout/
race	/reis/
racing	/´reisiη/
radio	/´reidiou/
rail	/reil/
railway	/'reilwei/
rain	/rein/
raise	/reiz/
range	/reɪndʒ/
rank	/ræɳk/
rapid	/'ræpid/
rapidly	/'ræpidli/
rare	/reə/
rarely	/'reзli/
rate	/reit/
rather	/'rɑ:ðə/
raw	/rɔ:/
re-	//
reach	/ri:tʃ/
react	/ri´ækt/
reaction	/ri:'ækʃn/
read	/ri:d/
reader	/´ri:də/
reading	/´ri:diη/
ready	/'redi/
real	/riəl/
realistic	/ri:ə'listik; BrE also riə-/
reality	/ri:'æliti/
realize	/riәlaiz/
really	/'riəli/
rear	/rɪər/
reason	/'ri:zn/
reasonable	/´ri:zənəbl/
reasonably	/´ri:zənəblli/
recall	/ri´kɔ:l/
receipt	/ri´si:t/
receive	/ri'si:v/
recent	/´ri:sənt/
recently	/´ri:səntli/
reception	/ri'sep∫n/
reckon	/'rekən/
recognition	/,rekəg'niʃn/
recognize	/'rekəgnaiz/
recommend	/rekə'mend/
record	/´rekɔ:d/
recording	/ri´kɔ:diη/
recover	/'ri:'kʌvə/
red	/red/
reduce	/ri'dju:s/
reduction	/ri´dʌkʃən/
refer to	//
reference	/'refərəns/
reflect	/ri'flekt/
reform	/ri´fɔ:m/
refrigerator	/ri'fridЗзreitз/
refusal	/ri´fju:zl/
refuse	/rɪˈfyuz/
regard	/ri'gɑ:d/
regarding	/ri´ga:diη/
region	/'ri:dʒən/
regional	/ˈridʒənl/
register	/'redʤistə/
regret	/ri'gret/
regular	/'rəgjulə/
regularly	/´regjuləli/
regulation	/¸regju´leiʃən/
reject	/'ri:ʤekt/
relate	/ri'leit/
related	/ri'leitid/
relation	/ri'leiʃn/
relationship	/ri'lei∫әn∫ip/
relative	/'relətiv/
relatively	/'relətivli/
relax	/ri´læks/
relaxed	/ri´lækst/
relaxing	/ri'læksiɳ/
release	/ri'li:s/
relevant	/´reləvənt/
relief	/ri'li:f/
religion	/rɪˈlɪdʒən/
religious	/ri'lidʒəs/
rely on	/ri´lai/
remain	/riˈmein/
remaining	/ri´meiniη/
remains	/re'meins/
remark	/ri'mɑ:k/
remarkable	/ri'ma:kәb(ә)l/
remarkably	/ri'ma:kәb(ә)li/
remember	/rɪˈmɛmbər/
remind	/riˈmaind/
remote	/ri'mout/
removal	/ri'mu:vəl/
remove	/ri'mu:v/
rent	/rent/
rented	/rentid/
repair	/ri'peə/
repeat	/ri'pi:t/
repeated	/ri´pi:tid/
repeatedly	/ri´pi:tidli/
replace	/rɪpleɪs/
reply	/ri'plai/
report	/ri'pɔ:t/
represent	/repri'zent/
representative	/,repri'zentətiv/
reproduce	/,ri:prə'dju:s/
reputation	/,repju:'teiʃn/
request	/ri'kwest/
require	/ri'kwaiə(r)/
requirement	/rɪˈkwaɪərmənt/
rescue	/´reskju:/
research	/ri'sз:tʃ/
reservation	/rez.əveɪ.ʃən/
reserve	/ri'zЗ:v/
resident	/'rezidənt/
resist	/ri'zist/
resistance	/ri´zistəns/
resolve	/ri'zɔlv/
resort	/ri´zɔ:t/
resource	/ri'so:s/
respect	/riˈspekt/
respond	/ri'spond/
response	/rɪˈspɒns/
responsibility	/ris,ponsз'biliti/
responsible	/ri'spɔnsəbl/
rest	/rest/
restaurant	/´restərɔn/
restore	/ris´tɔ:/
restrict	/ris´trikt/
restricted	/ris´triktid/
restriction	/ri'strik∫n/
result	/ri'zʌlt/
retain	/ri'tein/
retire	/ri´taiə/
retired	/ri´taiəd/
retirement	/rɪˈtaɪərmənt/
return	/ri'tə:n/
reveal	/riˈvi:l/
reverse	/ri'və:s/
review	/ri´vju:/
revise	/ri'vaiz/
revision	/ri´viʒən/
revolution	/,revə'lu:ʃn/
reward	/ri'wɔ:d/
rhythm	/'riðm/
rice	/raɪs/
rich	/ritʃ/
rid	/rid/
ride	/raid/
rider	/´raidə/
ridiculous	/rɪˈdɪkyələs/
riding	/´raidiη/
right	/rait/
rightly	/´raitli/
ring	/riɳ/
rise	/raiz/
risk	/risk/
rival	/raivl/
river	/'rivə/
road	/roʊd/
rob	/rɔb/
rock	/rɔk/
role	/roul/
roll	/'roul/
romantic	/roʊˈmæntɪk/
roof	/ru:f/
room	/rum/
root	/ru:t/
rope	/roʊp/
rough	/rᴧf/
roughly	/'rʌfli/
round	/raund/
rounded	/´raundid/
route	/ru:t/
routine	/ru:'ti:n/
row	/rou/
royal	/ˈrɔɪəl/
rub	/rʌb/
rubber	/´rʌbə/
rubbish	/ˈrʌbɪʃ/
rude	/ru:d/
rudely	/ru:dli/
ruin	/ru:in/
ruined	/ru:ind/
rule	/ru:l/
ruler	/´ru:lə/
rumour	/ˈrumər/
run	/rʌn/
runner	/´rʌnə/
running	/'rʌniɳ/
rural	/´ruərəl/
rush	/rʌ∫/
sack	/sæk/
sad	/sæd/
sadly	/'sædli/
sadness	/'sædnis/
safe	/seif/
safely	/seifli/
safety	/'seifti/
sail	/seil/
sailing	/'seiliɳ/
sailor	/seilə/
salad	/'sæləd/
salary	/ˈsæləri/
sale	/seil/
salt	/sɔ:lt/
salty	/´sɔ:lti/
same	/seim/
sample	/´sa:mpl/
sand	/sænd/
satisfaction	/,sætis'fæk∫n/
satisfied	/'sætisfaid/
satisfy	/'sætisfai/
satisfying	/sætisfaiiη/
Saturday (abbr Sat)	/'sætədi/
sauce	/sɔ:s/
save	/seiv/
saving	/´seiviη/
say	/sei/
scale	/skeɪl/
scare	/skɛə/
scared	/skerd/
scene	/si:n/
schedule	/´ʃkedju:l/
scheme	/ski:m/
school	/sku:l/
science	/'saiəns/
scientific	/,saiən'tifik/
scientist	/'saiəntist/
scissors	/´sizəz/
score	/skɔ:/
scratch	/skrætʃ/
scream	/skri:m/
screen	/skrin/
screw	/skru:/
sea	/si:/
seal	/si:l/
search	/sə:t∫/
season	/´si:zən/
seat	/si:t/
second	/ˈsɛkənd/
secondary	/´sekəndəri/
secret	/'si:krit/
secretary	/'sekrətri/
secretly	/'si:kritli/
section	/'sekʃn/
sector	/ˈsɛktər/
secure	/si'kjuə/
security	/siˈkiuəriti/
see	/si:/
seed	/sid/
seek	/si:k/
seem linking	/si:m/
select	/si´lekt/
selection	/si'lekʃn/
self	/self/
self-	//
sell	/sel/
senate	/´senit/
senator	/ˈsɛnətər/
send	/send/
senior	/'si:niə/
sense	/sens/
sensible	/'sensəbl/
sensitive	/'sensitiv/
sentence	/'sentəns/
separate	/'seprət/
separated	/'seprətid/
separately	/'seprətli/
separation	/¸sepə´reiʃən/
September	/sep´tembə/
series	/ˈsɪəriz/
serious	/'siәriәs/
seriously	/siəriəsli/
servant	/'sə:vənt/
serve	/sɜ:v/
service	/'sə:vis/
session	/'seʃn/
set	/set/
settle	/ˈsɛtl/
several	/'sevrəl/
severe	/səˈvɪər/
severely	/sə´virli/
sew	/soʊ/
sewing	/´souiη/
sex	/seks/
sexual	/'seksjuəl/
sexually	/'sekSJli/
shade	/ʃeid/
shadow	/ˈʃædəu/
shake	/ʃeik/
shall	/ʃæl/
shallow	/ʃælou/
shame	/ʃeɪm/
shape	/ʃeip/
shaped	/ʃeipt/
share	/ʃeə/
sharp	/ʃɑrp/
sharply	/ʃɑrpli/
shave	/ʃeiv/
she	/ʃi:/
sheep	/ʃi:p/
sheet	/ʃi:t/
shelf	/ʃɛlf/
shell	/ʃɛl/
shelter	/'ʃeltə/
shift	/ʃift/
shine	/ʃain/
shiny	/∫aini/
ship	/ʃɪp/
shirt	/ʃɜːt/
shock	/Sok/
shocked	/Sok/
shocking	/´ʃɔkiη/
shoe	/ʃu:/
shoot	/ʃut/
shooting	/'∫u:tiη/
shop	/ʃɔp/
shopping	/'ʃɔpiɳ/
short	/ʃɔ:t/
shortly	/´ʃɔ:tli/
shot	/ʃɔt/
should	/ʃud, ʃəd, ʃd/
shoulder	/'ʃouldə/
shout	/ʃaʊt/
show	/ʃou/
shower	/´ʃouə/
shut	/ʃʌt/
shy	/ʃaɪ/
sick	/sick/
side	/said/
side	/sait/
sideways	/´saidwə:dz/
sight	/sait/
sign	/sain/
signal	/'signəl/
signature	/ˈsɪgnətʃər , ˈsɪgnəˌtʃʊər/
significant	/sɪgˈnɪfɪkənt/
significantly	/sig'nifikəntli/
silence	/ˈsaɪləns/
silent	/ˈsaɪlənt/
silk	/silk/
silly	/´sili/
silver	/'silvə/
similar	/´similə/
similarly	/´similəli/
simple	/'simpl/
simply	/´simpli/
since	/sins/
sincere	/sin´siə/
sincerely	/sin'siəli/
sing	/siɳ/
singer	/´siηə/
singing	/´siηiη/
single	/'siɳgl/
sink	/sɪŋk/
sir	/sə:/
sister	/'sistə/
sit	/sit/
situation	/,sit∫u'ei∫n/
size	/saiz/
skilful	/´skilful/
skilfully	/´skilfulli/
skill	/skil/
skilled	/skild/
skin	/skin/
skirt	/skɜːrt/
sky	/skaɪ/
sleep	/sli:p/
sleeve	/sli:v/
slice	/slais/
slide	/slaid/
slight	/slait/
slightly	/'slaitli/
slip	/slip/
slope	/sloup/
slow	/slou/
slowly	/'slouli/
small	/smɔ:l/
smart	/sma:t/
smash	/smæʃ/
smell	/smɛl/
smile	/smail/
smoke	/smouk/
smoking	/smoukiη/
smooth	/smu:ð/
smoothly	/smu:ðli/
snake	/sneik/
snow	/snou/
so	/sou/
soap	/soup/
social	/'sou∫l/
socially	/´souʃəli/
society	/sə'saiəti/
sock	/sɔk/
soft	/sɔft/
softly	/sɔftli/
software	/'sɔfweз/
soil	/sɔɪl/
soldier	/'souldʤə/
solid	/'sɔlid/
solution	/sə'lu:ʃn/
solve	/sɔlv/
some	/sʌm/
somebody, someone	/'sʌmbədi/
somehow	/´sʌm¸hau/
something	/'sʌmθiɳ/
sometimes	/´sʌm¸taimz/
somewhat	/´sʌm¸wɔt/
somewhere	/'sʌmweə/
son	/sʌn/
song	/sɔɳ/
soon	/su:n/
sore	/sɔr , soʊr/
sorry	/'sɔri/
sort	/sɔ:t/
soul	/soʊl/
sound	/sound/
soup	/su:p/
sour	/'sauə/
source	/sɔ:s/
south	/sauθ/
southern	/´sʌðən/
space	/speis/
spare	/speə/
speak	/spi:k/
speaker	/ˈspikər/
special	/'speʃəl/
specialist	/'spesʃlist/
specially	/´speʃəli/
specific	/spi'sifik/
specifically	/spi'sifikəli/
speech	/spi:tʃ/
speed	/spi:d/
spell	/spel/
spelling	/´speliη/
spend	/spɛnd/
spice	/spais/
spicy	/´spaisi/
spider	/´spaidə/
spin	/spin/
spirit	/ˈspɪrɪt/
spiritual	/'spiritjuəl/
spite	/spait/
split	/split/
spoil	/spɔil/
spoken	/spoukn/
spoon	/spu:n/
sport	/spɔ:t/
spot	/spɔt/
spray	/spreɪ/
spread	/spred/
spring	/sprɪŋ/
square	/skweə/
squeeze	/skwi:z/
stable	/steibl/
staff	/sta:f/
stage	/steɪdʒ/
stair	/steə/
stamp	/stæmp/
stand	/stænd/
standard	/'stændəd/
star	/stɑ:/
stare	/'steә(r)/
start	/stɑ:t/
state	/steit/
statement	/'steitmənt/
station	/'steiʃn/
statue	/'stæt∫u:/
status	/ˈsteɪtəs , ˈstætəs/
stay	/stei/
steadily	/'stedili/
steady	/'stedi/
steal	/sti:l/
steam	/stim/
steel	/sti:l/
steep	/sti:p/
steeply	/'sti:pli/
steer	/stiə/
step	/step/
stick	/stick/
stick out, stick for	//
sticky	/'stiki/
stiff	/stif/
stiffly	/'stifli/
still	/stil/
sting	/stiɳ/
stir	/stə:/
stock	/stə:/
stomach	/ˈstʌmək/
stone	/stoun/
stop	/stɔp/
store	/stɔ:/
storm	/stɔ:m/
story	/'stɔ:ri/
stove	/stouv/
straight	/streɪt/
strain	/strein/
strange	/streindʤ/
strangely	/streindʤli/
stranger	/'streinʤə/
strategy	/'strætəʤɪ/
stream	/stri:m/
strength	/'streɳθ/
stress	//
stressed	/strest/
stretch	/strɛtʃ/
strict	/strikt/
strictly	/striktli/
strike	/straik/
striking	/'straikiɳ/
string	/strɪŋ/
strip	/strip/
stripe	/straɪp/
striped	/straipt/
stroke	/strouk/
strong	/strɔŋ , strɒŋ/
strongly	/strɔŋli/
structure	/'strʌkt∫ə/
struggle	/'strʌg(ә)l/
student	/'stju:dnt/
studio	/´stju:diou/
study	/'stʌdi/
stuff	/stʌf/
stupid	/ˈstupɪd , ˈstyupɪd/
style	/stail/
subject	/ˈsʌbdʒɪkt/
substance	/'sʌbstəns/
substantial	/səb´stænʃəl/
substantially	/səb´stænʃəli/
substitute	/´sʌbsti¸tju:t/
succeed	/sәk'si:d/
success	/sәk'si:d/
successful	/səkˈsɛsfəl/
successfully	/səkˈsɛsfəlli/
such	/sʌtʃ/
suck	/sʌk/
sudden	/'sʌdn/
suddenly	/'sʌdnli/
suf	/stri:t/
suffer	/'sΛfә(r)/
suffering	/'sΛfәriŋ/
sufficient	/sə'fi∫nt/
sufficiently	/sə'fiʃəntli/
sugar	/'ʃugə/
suggest	/sə'dʤest/
suggestion	/sə'dʤestʃn/
suit	/su:t/
suitable	/´su:təbl/
suitcase	/´su:t¸keis/
suited	/´su:tid/
sum	/sʌm/
summary	/ˈsʌməri/
summer	/ˈsʌmər/
sun	/sʌn/
Sunday	/´sʌndi/
superior	/su:'piәriә(r)/
supermarket	/´su:pə¸ma:kit/
supply	/sə'plai/
support	/sə´pɔ:t/
supporter	/sə´pɔ:tə/
suppose	/sә'pәƱz/
sure	/ʃuə/
surely	/´ʃuəli/
surface	/ˈsɜrfɪs/
surname	/ˈsɜrˌneɪm/
surprise	/sə'praiz/
surprised	/sə:´praizd/
surprising	/sə:´praiziη/
surprisingly	/sə'praiziηli/
surround	/sә'raƱnd/
surrounding	/sə.ˈrɑʊ(n)diɳ/
surroundings	/sə´raundiηz/
survey	/'sə:vei/
survive	/sə'vaivə/
suspect	/səs´pekt/
suspicion	/səs'pi∫n/
suspicious	/səs´piʃəs/
swallow	/'swɔlou/
swear	/sweə/
swearing	//
sweat	/swet/
sweater	/'swetз/
sweep	/swi:p/
sweet	/swi:t/
swell	/swel/
swelling	/´sweliη/
swim	/swim/
swimming	/´swimiη/
swimming pool	//
swing	/swiŋ/
switch	/switʃ/
swollen	/´swoulən/
swollen swell	/´swoulən, swel/
symbol	/simbl/
sympathetic	/¸simpə´θetik/
sympathy	/´simpəθi/
system	/'sistim/
table	/'teibl/
tablet	/'tæblit/
tackle	/tækl or 'teikl/
tail	/teil/
take	/teik/
take care of	//
take part in	//
take sth over	//
talk	/tɔ:k/
tall	/tɔ:l/
tank	/tæŋk/
tap	/tæp/
tape	/teip/
target	/'ta:git/
task	/tɑːsk/
taste	/teist/
tax	/tæks/
taxi	/'tæksi/
tea	/ti:/
teach	/ti:tʃ/
teacher	/'ti:t∫ə/
teaching	/'ti:t∫iŋ/
team	/ti:m/
tear	/tiə/
technical	/'teknikl/
technique	/tek'ni:k/
technology	/tek'nɔlədʤi/
telephone (phone)	/´telefoun/
television (TV)	/´televiʒn/
tell	/tel/
temperature	/´tempritʃə/
temporarily	/'tempзrзlti/
temporary	/ˈtɛmpəˌrɛri/
tend	/tend/
tendency	/ˈtɛndənsi/
tension	/'tenʃn/
tent	/tent/
term	/tɜ:m/
terrible	/'terəbl/
terribly	/'terəbli/
test	/test/
text	/tɛkst/
than	/ðæn/
thank	/θæŋk/
thank you	//
thanks	/'θæŋks/
that	/ðæt/
the	/ði:, ði, ðз/
theatre	/ˈθiətər/
their	/ðea(r)/
theirs	/ðeəz/
them	/ðem/
theme	/θi:m/
themselves	/ðəm'selvz/
then	/ðen/
theory	/'θiəri/
there	/ðeз/
therefore	/'ðeəfɔ:(r)/
they	/ðei/
thick	/θik/
thickly	/θikli/
thickness	/´θiknis/
thief	/θi:f/
thin	/θin/
thing	/θiŋ/
think	/θiŋk/
thinking	/'θiŋkiŋ/
thirsty	/´θə:sti/
this	/ðis/
thorough	/'θʌrə/
thoroughly	/'θʌrəli/
though	/ðəʊ/
thought	/θɔ:t/
thread	/θred/
threat	/θrɛt/
threaten	/'θretn/
threatening	/´θretəniη/
throat	/θrout/
through	/θru:/
throughout	/θru:'aut/
throw	/θrou/
thumb	/θʌm/
Thursday (abbr Thur, Thurs)	/´θə:zdi/
thus	/ðʌs/
ticket	/'tikit/
tidy	/´taidi/
tie	/tai/
tight	/tait/
tightly	/'taitli/
till, until	/til/
time	/taim/
timetable	/´taimteibl/
tin	/tɪn/
tiny	/'taini/
tip	/tip/
tire	/taiз/
tired	/'taɪəd/
tiring	/´taiəriη/
title	/ˈtaɪtl/
to	/tu:, tu, tз/
today	/tə'dei/
toe	/tou/
together	/tə'geðə/
toilet	/´tɔilit/
tomato	/tə´ma:tou/
tomorrow	/tə'mɔrou/
ton	/tΔn/
tone	/toun/
tongue	/tʌη/
tonight	/tə´nait/
tonne	/tʌn/
too	/tu:/
tool	/tu:l/
tooth	/tu:θ/
top	/tɒp/
topic	/ˈtɒpɪk/
total	/'toutl/
totally	/toutli/
touch	/tʌtʃ/
tough	/tʌf/
tour	/tuə/
tourist	/'tuərist/
towards	/tə´wɔ:dz/
towel	/taʊəl/
tower	/'tauə/
town	/taun/
toy	/tɔi/
trace	/treis/
track	/træk/
trade	/treid/
trading	/treidiη/
tradition	/trə´diʃən/
traditional	/trə´diʃənəl/
traditionally	/trə´diʃənəlli/
traffic	/'træfik/
train	/trein/
training	/trainiŋ/
transfer	/'trænsfə:/
transform	/træns'fɔ:m/
translate	/træns´leit/
translation	/træns'leiʃn/
transparent	/træns´pærənt/
transport	/'trænspɔ:t/
trap	/træp/
travel	/'trævl/
traveller	/'trævlə/
treat	/tri:t/
treatment	/'tri:tmənt/
tree	/tri:/
trend	/trend/
trial	/'traiəl/
triangle	/´trai¸æηgl/
trick	/trik/
trip	/trip/
tropical	/´trɔpikəl/
trouble	/'trʌbl/
trousers	/´trauzə:z/
truck	/trʌk/
true	/tru:/
truly	/'tru:li/
trust	/trʌst/
truth	/tru:θ/
try	/trai/
tube	/tju:b/
Tuesday (abbr Tue, Tues)	/´tju:zdi/
tune	/tun , tyun/
tunnel	/'tʌnl/
turn	/tə:n/
TV television	//
twice	/twaɪs/
twin	/twɪn/
twist	/twist/
twisted	/twistid/
type	/taip/
typical	/´tipikəl/
typically	/´tipikəlli/
tyre	/'taiз/
ugly	/'ʌgli/
ultimate	/ˈʌltəmɪt/
ultimately	/´ʌltimətli/
umbrella	/ʌm'brelə/
unable	/'ʌn'eibl/
unacceptable	/'ʌnək'septəbl/
unacceptable, acceptable	/¸ʌnək´septəbl/
uncertain	/ʌn'sə:tn/
uncertain, certain	/ʌn'sə:tn/
uncle	/ʌηkl/
uncomfortable	/ʌη´tkʌmfətəbl/
uncomfortable,comfortable	/ʌη´kʌmfətəbl/
unconscious	/ʌn'kɔnʃəs/
unconscious, conscious	/ʌn'kɔnʃəs/
uncontrolled	/'ʌnkən'trould/
uncontrolled, control	/'ʌnkən'trould/
under	/'ʌndə/
underground	/ʌndəgraund/
underneath	/¸ʌndə´ni:θ/
understand	/ʌndə'stænd/
understanding	/ˌʌndərˈstændɪŋ/
underwater	/´ʌndə¸wɔtə/
underwear	/'ʌndəweə/
undo	/ʌn´du:/
unemployed	/¸ʌnim´plɔid/
unemployment	/'Δnim'ploimзnt/
unexpected	/¸ʌniks´pektid/
unexpectedly	/'Δniks'pektid/
unfair	/ʌn´fɛə/
Unfair, unfairly	/ʌn´fɛə/
unfairly	/ʌn´fɛəli/
unfortunate	/Λnfo:'t∫әneit/
unfortunately	/ʌn´fɔ:tʃənətli/
unfriendly	/ʌn´frendli/
unhappiness	/ʌn´hæpinis/
unhappy	/ʌn´hæpi/
uniform	/ˈjunəˌfɔrm/
unimportant	/¸ʌnim´pɔ:tənt/
union	/'ju:njən/
unique	/ju:´ni:k/
unit	/'ju:nit/
unite	/ju:´nait/
united	/ju:'naitid/
universe	/'ju:nivə:s/
university	/¸ju:ni´və:siti/
unkind	/ʌn´kaind/
unknown	/'ʌn'noun/
unless	/ʌn´les/
unlike	/ʌn´laik/
unlikely	/ʌnˈlaɪkli/
unload	/ʌn´loud/
unlucky	/ʌn´lʌki/
unnecessary	/ʌn'nesisəri/
unpleasant	/ʌn'plezənt/
unreasonable	/ʌnˈrizənəbəl/
unsteady	/ʌn´stedi/
unsuccessful	/¸ʌnsək´sesful/
untidy	/ʌn´taidi/
until, till	/ʌn´til/
Unusual	/ʌn´ju:ʒuəl/
unusually	/ʌn´ju:ʒuəlli/
Unwilling	/ʌn´wiliη/
unwillingly	/ʌn´wiliηgli/
up	/Λp/
upon	/ə´pɔn/
upper	/´ʌpə/
upset	/ʌpˈsɛt/
upsetting	/ʌp´setiη/
upside down	/´ʌp¸said/
upstairs	/´ʌp´stɛəz/
upward	/'ʌpwəd/
upwards	//
urban	/ˈɜrbən/
urge	/ə:dʒ/
urgent	/ˈɜrdʒənt/
us	/ʌs/
use	/ju:s/
used	/ju:st/
used to	//
useful	/´ju:sful/
useless	/'ju:slis/
user	/´ju:zə/
usual	/'ju:ʒl/
usually	/'ju:ʒәli/
vacation	/və'kei∫n/
valid	/'vælɪd/
valley	/'væli/
valuable	/'væljuəbl/
value	/'vælju:/
van	/væn/
variation	/¸veəri´eiʃən/
varied	/'veərid/
variety	/və'raiəti/
various	/veri.əs/
vary	/'veəri/
vast	/vɑ:st/
vegetable	/ˈvɛdʒtəbəl , ˈvɛdʒɪtəbəl/
vehicle	/'vi:hikl/
venture	/'ventʃə/
version	/'və:∫n/
vertical	/ˈvɜrtɪkəl/
very	/'veri/
via	/'vaiə/
victim	/'viktim/
victory	/'viktəri/
video	/'vidiou/
view	/vju:/
village	/ˈvɪlɪdʒ/
violence	/ˈvaɪələns/
violent	/'vaiələnt/
violently	/vaiзlзntli/
virtually	/'və:tjuəli/
virus	/'vaiərəs/
visible	/'vizəbl/
vision	/'viʒn/
visit	/vizun/
visitor	/'vizitə/
vital	/'vaitl/
vocabulary	/və´kæbjuləri/
voice	/vɔis/
volume	/´vɔlju:m/
vote	/voʊt/
wage	/weiʤ/
waist	/weist/
wait	/weit/
waiter, waitress	/'weitə/
wake up	/weik/
walk	/wɔ:k/
walking	/'wɔ:kiɳ/
wall	/wɔ:l/
wallet	/'wolit/
wander	/'wɔndə/
want	/wɔnt/
war	/wɔ:/
warm	/wɔ:m/
warmth	/wɔ:mθ/
warn	/wɔ:n/
warning	/'wɔ:niɳ/
wash	/wɒʃ , wɔʃ/
washing	/'wɔʃiɳ/
waste	/weɪst/
watch	/wɔtʃ/
water	/'wɔ:tə/
wave	/weɪv/
way	/wei/
we	/wi:/
weak	/wi:k/
weakness	/´wi:knis/
wealth	/welθ/
weapon	/'wepən/
wear	/weə/
weather	/'weθə/
web	/wɛb/
website	//
wedding	/ˈwɛdɪŋ/
Wednesday	/´wensdei/
week	/wi:k/
weekend	/¸wi:k´end/
weekly	/´wi:kli/
weigh	/wei/
weight	/'weit/
welcome	/'welkʌm/
well	/wel/
well known	/´wel´noun/
west	/west/
western	/'westn/
wet	/wɛt/
what	/wʌt/
whatever	/wɔt´evə/
wheel	/wil/
when	/wen/
whenever	/wen'evə/
where	/weər/
whereas	/weə'ræz/
wherever	/weər'evə(r)/
whether	/´weðə/
which	/witʃ/
while	/wail/
whilst	/wailst/
whisper	/´wispə/
whistle	/wisl/
white	/wai:t/
who	/hu:/
whoever	/hu:'ev/
whole	/həʊl/
whom	/hu:m/
whose	/hu:z/
why	/wai/
wide	/waid/
widely	/´waidli/
width	/wɪdθ; wɪtθ/
wife	/waif/
wild	/waɪld/
wildly	/waɪldli/
will	/wil/
willing	/´wiliη/
willingly	/'wiliηli/
willingness	/´wiliηnis/
win	/win/
wind	/wind/
window	/'windəʊ/
wine	/wain/
wing	/wiη/
winner	/winər/
winning	/´winiη/
winter	/ˈwɪntər/
wire	/waiə/
wise	/waiz/
wish	/wi∫/
with	/wið/
withdraw	/wɪðˈdrɔ , wɪθˈdrɔ/
within	/wið´in/
without	/wɪðˈaʊt , wɪθaʊt/
witness	/'witnis/
woman	/'wʊmən/
